FacilityName                                                   ,City                 ,END
Bayes Achievement Center Inc                                   ,Huntsville           ,
Beach Park CCSD 3                                              ,Beach Park           ,
Beach Park Middle School                                       ,Beach Park           ,
Beacon Academy                                                 ,Evanston             ,
Beacon Therapeutic School                                      ,Chicago              ,
Beard Elem School                                              ,Chicago              ,
Beardstown Christian Academy                                   ,Beardstown           ,
Beardstown CUSD 15                                             ,Beardstown           ,
Beardstown Jr/Sr High School                                   ,Beardstown           ,
Beasley Elem Magnet Academic Ctr                               ,Chicago              ,
Beaubien Elem School                                           ,Chicago              ,
Beautiful Beginnings                                           ,Rockford             ,
Beckemeyer Elem School                                         ,Hillsboro            ,
Beckemeyer Elem School                                         ,Beckemeyer           ,
Bednarcik Junior High School                                   ,Aurora               ,
Beebe Elem School                                              ,Naperville           ,
Beecher City CUSD 20                                           ,Beecher City         ,
Beecher City Grade School                                      ,Beecher City         ,
Beecher City Jr-Sr High School                                 ,Beecher City         ,
Beecher CUSD 200U                                              ,Beecher              ,
Beecher Elem School                                            ,Beecher              ,
Beecher High School                                            ,Beecher              ,
Beecher Junior High School                                     ,Beecher              ,
Beethoven Elem School                                          ,Chicago              ,
Beginners Enrichment Academy                                   ,Chicago              ,
Behavior Disorder Program Coop                                 ,Tiskilwa             ,
Beidler Elem School                                            ,Chicago              ,
Belding Elem School                                            ,Chicago              ,
Bell Elem School                                               ,Chicago              ,
Belle Aire Elem School                                         ,Downers Grove        ,
Belle Alexander Elem School                                    ,Kewanee              ,
Belle Valley School                                            ,Belleville           ,
Belle Valley SD 119                                            ,Belleville           ,
Bellefaire                                                     ,Shaker Heights       ,
Bellefaire-Intensive                                           ,Shaker Heights       ,
Bellefaire-Monarch Boarding Academy                            ,Shaker Heights       ,
Bellefaire-Monarch School                                      ,Shaker Heights       ,
Bellefaire-Transitional                                        ,Shaker Heights       ,
Belleville Area Special Services                               ,Belleville           ,
Belleville High School-East                                    ,Belleville           ,
Belleville High School-West                                    ,Belleville           ,
Belleville SD 118                                              ,Belleville           ,
Belleville Twp HSD 201                                         ,Belleville           ,
Belleville Twp HS-Night/Alt Sch                                ,Belleville           ,
Bell-Graham Elementary School                                  ,Saint Charles        ,
Bellwood SD 88                                                 ,Bellwood             ,
Belmont-Cragin Elem School                                     ,Chicago              ,
Belvidere Central Middle School                                ,Belvidere            ,
Belvidere CUSD 100                                             ,Belvidere            ,
Belvidere High School                                          ,Belvidere            ,
Belvidere North High Sch                                       ,Belvidere            ,
Belvidere South Middle School                                  ,Belvidere            ,
Bement CUSD 5                                                  ,Bement               ,
Bement Elementary School                                       ,Bement               ,
Bement High School                                             ,Bement               ,
Bement Middle School                                           ,Bement               ,
Benavides Steam Academy                                        ,Aurora               ,
Benet Academy                                                  ,Lisle                ,
Ben-Gil Elementary School                                      ,Gillespie            ,
Benjamin Elem School                                           ,Bloomington          ,
Benjamin Franklin Elem School                                  ,Glen Ellyn           ,
Benjamin Franklin Elem School                                  ,Decatur              ,
Benjamin Franklin Elem School                                  ,Moline               ,
Benjamin Franklin Middle School                                ,Springfield          ,
Benjamin Middle School                                         ,West Chicago         ,
Benjamin SD 25                                                 ,West Chicago         ,
Bennett Day School                                             ,Chicago              ,
Bennett Elem School                                            ,Chicago              ,
Bensenville SD 2                                               ,Bensenville          ,
Bent Elem School                                               ,Bloomington          ,
Bentley Elem School                                            ,New Lenox            ,
Benton CCSD 47                                                 ,Benton               ,
Benton Cons High School                                        ,Benton               ,
Benton Cons HSD 103                                            ,Benton               ,
Benton Grade Sch 5-8                                           ,Benton               ,
Benton Grade Sch K-4                                           ,Benton               ,
Berean Baptist Christian School                                ,Rockford             ,
Berean Christian School                                        ,Fairview Heights     ,
Berger-Vandenberg Elem School                                  ,Dolton               ,
Berkeley SD 87                                                 ,Berkeley             ,
Bernard J Ward Elem School                                     ,Bolingbrook          ,
Bernard Long Elem School                                       ,Madison              ,
Bernard W Flinn Middle School                                  ,Rockford             ,
Bernard Zell Anshe Emet Day Sch                                ,Chicago              ,
Bert H Fulton School                                           ,Tinley Park          ,
Berwyn North SD 98                                             ,Berwyn               ,
Berwyn South SD 100                                            ,Berwyn               ,
Betel Christian School                                         ,Bartlett             ,
Bethalto CUSD 8                                                ,Bethalto             ,
Bethalto East Primary School                                   ,Bethalto             ,
Bethany Lutheran School                                        ,Naperville           ,
Bethel Christian School                                        ,Chicago              ,
Bethel Grade School                                            ,Mount Vernon         ,
Bethel Lutheran School                                         ,Morton               ,
Bethel SD 82                                                   ,Mount Vernon         ,
Bethesda International Academy                                 ,Chicago              ,
Betsy Ross Elem School                                         ,Prospect Heights     ,
Betsy Ross Elem School                                         ,Forest Park          ,
Betty Shabazz International Charter School                     ,Chicago              ,
Betty Shabazz International Charter School                     ,Chicago              ,
Beulah Park Elem School                                        ,Zion                 ,
Beverly Hills S D A School                                     ,Chicago              ,
Beverly Manor Elementary School                                ,Washington           ,
Beverly Montessori School                                      ,Chicago              ,
Beyer Early Childhood Center                                   ,Rockford             ,
Bicentennial Elem School                                       ,Coal Valley          ,
Bi-County Sp Ed HI HS                                          ,Sterling             ,
Bi-County Sp Ed Preschool Program                              ,Sterling             ,
Bi-County Sp Ed-3-5 Life Skills-Morrison                       ,Morrison             ,
Bi-County Sp Ed-3-5 LIfe Skills-Sterling                       ,Sterling             ,
Bi-County Sp Ed-ECSE Montmorency                               ,Rock Falls           ,
Bi-County Sp Ed-ECSE Prophetstown                              ,Prophetstown         ,
Bi-County Sp Ed-ECSE Tampico                                   ,Tampico              ,
Bi-County Sp Ed-HI Elem                                        ,Rock Falls           ,
